WB,ET0,SWC,ET,DELTA,F,f,PERC,Q,InF,Loss,PerLoss
0.0,0.005,0.7710999999999998,0.0043,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.006,0.7667999999999998,0.00516,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.003,0.7616399999999998,0.00258,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.002,0.7590599999999997,0.00172,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.7573399999999997,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.7564799999999997,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.7556199999999997,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.003,0.7556199999999997,0.00258,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.009,0.7530399999999997,0.0077399999999999995,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.02,0.7452999999999997,0.0172,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.028,0.7280999999999997,0.02408,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.2032,0.027,0.7040199999999998,0.02322,0.3219975,3.5494865624067478,2.1786813430080487,0.0,0.0,0.2032,0.2032,Infinity
0.0,0.028,0.8839999999999997,0.02408,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0508,0.029,0.8599199999999997,0.02494,0.30251,3.465263160181524,2.137652686444116,0.0,0.0,0.0508,0.0508,Infinity
0.0,0.042,0.8857799999999997,0.03612,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.035,0.8496599999999996,0.030100000000000002,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.025,0.8195599999999996,0.021500000000000002,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.018,0.7980599999999997,0.015479999999999999,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.009,0.7825799999999996,0.0077399999999999995,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.004,0.7748399999999996,0.00344,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.002,0.7713999999999996,0.00172,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.002,0.7696799999999996,0.00172,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.7679599999999995,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.7670999999999996,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.254,0.001,0.7662399999999996,8.6E-4,0.31422000000000005,3.5161789879664145,2.162449045087127,0.0,0.0,0.254,0.254,Infinity
0.0254,0.001,1.0193799999999995,8.6E-4,0.28257750000000004,3.3763364688092548,2.094397621824102,0.0,0.0,0.0254,0.0254,Infinity
0.0508,0.0,1.0439199999999995,0.0,0.27951000000000004,3.362383567246277,2.087617164108128,0.0,0.0,0.0508,0.0508,Infinity
0.0,0.0,1.0947199999999995,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0254,0.0,1.0947199999999995,0.0,0.27316000000000007,3.3332613695271234,2.0734709854946245,0.0,0.0,0.0254,0.0254,Infinity
0.0,0.0,1.1201199999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1201199999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,1.1201199999999996,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.005,1.1192599999999995,0.0043,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0508,0.01,1.1149599999999995,0.0086,0.27063000000000004,3.3215668683075394,2.0677926188958153,0.0,0.0,0.0508,0.0508,Infinity
0.2286,0.014,1.1571599999999995,0.01204,0.265355,3.2970121150236436,2.0558741637584683,0.10575999999999941,0.0,0.2286,0.12284000000000059,Infinity
0.0254,0.024,1.28,0.02064,0.24999999999999997,3.224154789064222,2.0205462039776276,0.02540000000000009,0.0,0.0254,9.020562075079397E-17,Infinity
0.762,0.008,1.28,0.00688,0.24999999999999997,3.224154789064222,2.0205462039776276,0.7619999999999998,0.0,0.762,2.220446049250313E-16,Infinity
